GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
agg_Wind_CA_PGE_N,2050,1042433.4572,33692.0,.
agg_Wind_OR_E,2050,1042433.4572,33692.0,.
agg_Central_PV_OR_W,2050,702650.5876199999,8229.0,.
agg_Central_PV_MT_SE,2050,702650.5876199999,8229.0,.
agg_Central_PV_NV_S,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_PGE_BAY,2050,702650.5876199999,8229.0,.
agg_Central_PV_WY_SE,2050,702650.5876199999,8229.0,.
agg_Central_PV_ID_S_OR_E,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_PGE_S,2050,702650.5876199999,8229.0,.
agg_Central_PV_CO_E,2050,702650.5876199999,8229.0,.
agg_Central_PV_NM_S_TX_EPE,2050,702650.5876199999,8229.0,.
agg_Central_PV_AZ_NM_N,2050,702650.5876199999,8229.0,.
agg_Central_PV_CO_SW,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_IID,2050,702650.5876199999,8229.0,.
agg_Central_PV_AZ_SE,2050,702650.5876199999,8229.0,.
agg_Central_PV_AZ_APS_SW,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_SCE_CEN,2050,702650.5876199999,8229.0,.
agg_Central_PV_ID_E,2050,702650.5876199999,8229.0,.
agg_Central_PV_UT_S,2050,702650.5876199999,8229.0,.
agg_Central_PV_MT_SW,2050,702650.5876199999,8229.0,.
agg_Central_PV_NV_N,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_SCE_SE,2050,702650.5876199999,8229.0,.
agg_Central_PV_CAN_ALB,2050,702650.5876199999,8229.0,.
agg_Central_PV_MEX_BAJA,2050,702650.5876199999,8229.0,.
agg_Central_PV_WY_NE,2050,702650.5876199999,8229.0,.
agg_Central_PV_OR_WA_BPA,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_PGE_CEN,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_PGE_N,2050,702650.5876199999,8229.0,.
agg_Central_PV_UT_N,2050,702650.5876199999,8229.0,.
agg_Central_PV_WA_ID_AVA,2050,702650.5876199999,8229.0,.
agg_Central_PV_AZ_PHX,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_SCE_S,2050,702650.5876199999,8229.0,.
agg_Central_PV_AZ_NW,2050,702650.5876199999,8229.0,.
agg_Central_PV_CAN_BC,2050,702650.5876199999,8229.0,.
agg_Central_PV_WY_NW,2050,702650.5876199999,8229.0,.
agg_Central_PV_MT_NW,2050,702650.5876199999,8229.0,.
agg_Central_PV_CO_NW,2050,702650.5876199999,8229.0,.
agg_Central_PV_OR_E,2050,702650.5876199999,8229.0,.
agg_Central_PV_WY_SW,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_SDGE,2050,702650.5876199999,8229.0,.
agg_Central_PV_CA_SCE_VLY,2050,702650.5876199999,8229.0,.
agg_Wind_MT_SW,2050,1042433.4572,33692.0,.
agg_Wind_ID_E,2050,1042433.4572,33692.0,.
agg_Wind_NV_N,2050,1042433.4572,33692.0,.
agg_Wind_MT_NW,2050,1042433.4572,33692.0,.
agg_Wind_OR_W,2050,1042433.4572,33692.0,.
agg_Wind_OR_PDX,2050,1042433.4572,33692.0,.
agg_Wind_WY_SE,2050,1042433.4572,33692.0,.
agg_Wind_CO_DEN,2050,1042433.4572,33692.0,.
agg_Wind_MT_SE,2050,1042433.4572,33692.0,.
agg_Wind_UT_N,2050,1042433.4572,33692.0,.
agg_Wind_WY_SW,2050,1042433.4572,33692.0,.
agg_Wind_CO_NW,2050,1042433.4572,33692.0,.
agg_Wind_MT_NE,2050,1042433.4572,33692.0,.
agg_Wind_CAN_ALB,2050,1042433.4572,33692.0,.
agg_Wind_OR_WA_BPA,2050,1042433.4572,33692.0,.
agg_Wind_WA_N_CEN,2050,1042433.4572,33692.0,.
agg_Wind_WA_ID_AVA,2050,1042433.4572,33692.0,.
agg_Wind_ID_S_OR_E,2050,1042433.4572,33692.0,.
agg_Wind_WA_W,2050,1042433.4572,33692.0,.
agg_Wind_CAN_BC,2050,1042433.4572,33692.0,.
agg_Wind_WY_NW,2050,1042433.4572,33692.0,.
agg_Wind_NM_N,2050,1042433.4572,33692.0,.
agg_Wind_CO_SW,2050,1042433.4572,33692.0,.
agg_Wind_CO_E,2050,1042433.4572,33692.0,.
77333,2050,1042433.4572,33692.0,.
77334,2050,1042433.4572,33692.0,.
77335,2050,1042433.4572,33692.0,.
77336,2050,1042433.4572,33692.0,.
77337,2050,1042433.4572,33692.0,.
77338,2050,1042433.4572,33692.0,.
77339,2050,1042433.4572,33692.0,.
77340,2050,1042433.4572,33692.0,.
77341,2050,1042433.4572,33692.0,.
77342,2050,1042433.4572,33692.0,.
77343,2050,1042433.4572,33692.0,.
77344,2050,1042433.4572,33692.0,.
77345,2050,1042433.4572,33692.0,.
77346,2050,1042433.4572,33692.0,.
77347,2050,1042433.4572,33692.0,.
77348,2050,1042433.4572,33692.0,.
77349,2050,1042433.4572,33692.0,.
77350,2050,1042433.4572,33692.0,.
77351,2050,1042433.4572,33692.0,.
77352,2050,1042433.4572,33692.0,.
77353,2050,1042433.4572,33692.0,.
77354,2050,1042433.4572,33692.0,.
77355,2050,1042433.4572,33692.0,.
77356,2050,1042433.4572,33692.0,.
77357,2050,1042433.4572,33692.0,.
77358,2050,1042433.4572,33692.0,.
77359,2050,1042433.4572,33692.0,.
77360,2050,1042433.4572,33692.0,.
77361,2050,1042433.4572,33692.0,.
77362,2050,1042433.4572,33692.0,.
77363,2050,1042433.4572,33692.0,.
77364,2050,1042433.4572,33692.0,.
77365,2050,1042433.4572,33692.0,.
77366,2050,1042433.4572,33692.0,.
77367,2050,1042433.4572,33692.0,.
77368,2050,1042433.4572,33692.0,.
77369,2050,1042433.4572,33692.0,.
77370,2050,1042433.4572,33692.0,.
77371,2050,1042433.4572,33692.0,.
77372,2050,1042433.4572,33692.0,.
77373,2050,1042433.4572,33692.0,.
77374,2050,1042433.4572,33692.0,.
77375,2050,1042433.4572,33692.0,.
77376,2050,1042433.4572,33692.0,.
77377,2050,1042433.4572,33692.0,.
77378,2050,1042433.4572,33692.0,.
77379,2050,1042433.4572,33692.0,.
77380,2050,1042433.4572,33692.0,.
77381,2050,1042433.4572,33692.0,.
77382,2050,1042433.4572,33692.0,.
77383,2050,1042433.4572,33692.0,.
77384,2050,1042433.4572,33692.0,.
77385,2050,1042433.4572,33692.0,.
77386,2050,1042433.4572,33692.0,.
77387,2050,1042433.4572,33692.0,.
77388,2050,1042433.4572,33692.0,.
77389,2050,1042433.4572,33692.0,.
77390,2050,1042433.4572,33692.0,.
77391,2050,1042433.4572,33692.0,.
77392,2050,1042433.4572,33692.0,.
77394,2050,1042433.4572,33692.0,.
77398,2050,1042433.4572,33692.0,.
77399,2050,1042433.4572,33692.0,.
77407,2050,1042433.4572,33692.0,.
77408,2050,1042433.4572,33692.0,.
77409,2050,1042433.4572,33692.0,.
77410,2050,1042433.4572,33692.0,.
77411,2050,1042433.4572,33692.0,.
77412,2050,1042433.4572,33692.0,.
77413,2050,1042433.4572,33692.0,.
77414,2050,1042433.4572,33692.0,.
77415,2050,1042433.4572,33692.0,.
77416,2050,1042433.4572,33692.0,.
77417,2050,1042433.4572,33692.0,.
77418,2050,1042433.4572,33692.0,.
77419,2050,1042433.4572,33692.0,.
77420,2050,1042433.4572,33692.0,.
77421,2050,1042433.4572,33692.0,.
77422,2050,1042433.4572,33692.0,.
77423,2050,1042433.4572,33692.0,.
77424,2050,1042433.4572,33692.0,.
77431,2050,1042433.4572,33692.0,.
77435,2050,1042433.4572,33692.0,.
