GENERATION_PROJECT,build_year,gen_predetermined_cap,gen_predetermined_storage_energy_mwh
154336,1980,86.9,.
154337,1980,12.1,.
154338,1982,10.1,.
154339,1984,257.0,.
154340,1981,177.8,.
154341,1981,1.4,.
154342,1987,199.8,.
154343,1962,113.6,.
154343,1980,312.3,.
154343,1981,414.0,.
154344,1972,26.1,.
154345,1972,53.1,.
154345,1973,53.1,.
154346,1976,396.0,.
154346,2001,135.6,.
154346,2003,569.6,.
154347,1972,53.1,.
154347,1973,53.1,.
154348,1972,53.1,.
154348,1973,53.1,.
154348,2002,78.3,.
154349,1974,72.4,.
154349,1978,25.3,.
154350,1971,47.2,.
154350,1973,72.4,.
154350,2008,121.0,.
154351,1959,86.7,.
154352,2001,85.0,.
154353,1972,54.0,.
154354,1962,113.6,.
154354,1967,173.3,.
154355,1974,142.4,.
154355,1975,80.5,.
154356,2001,0.2,.
154357,1957,113.6,.
154357,1958,113.6,.
154357,1961,163.2,.
154358,1927,29.70000000000001,.
154359,1972,99.8,.
154360,2002,292.0,.
154361,1971,53.1,.
154361,1973,120.6,.
154362,1926,9.2,.
154363,1971,54.3,.
154364,1973,36.0,.
154365,1930,13.0,.
154366,1980,71.2,.
154367,1981,71.2,.
154368,1951,254.8,.
154369,1964,495.0,.
154369,1965,495.0,.
154369,1966,322.0,.
154370,1936,392.4,.
154370,1937,130.0,.
154370,1938,260.0,.
154370,1944,127.0,.
154370,1961,130.0,.
154371,1981,1.5,.
154372,1963,11.5,.
154372,1972,20.4,.
154372,1975,78.7,.
154372,2002,60.5,.
154373,1964,81.6,.
154373,1979,204.0,.
154374,1979,204.0,.
154375,1980,3.3000000000000003,.
154376,1979,1.0,.
154377,1981,1.0,.
154378,1902,1.0,.
154379,1940,1.4,.
154380,1927,31.0,.
154381,1958,97.2,.
154382,1969,117.9,.
154383,1928,66.0,.
154384,1958,40.0,.
154385,1921,48.8,.
154385,1924,25.0,.
154386,1958,117.9,.
154387,1965,7.0,.
154388,1979,12.1,.
154389,1907,1.4,.
154390,1949,36.9,.
154390,1950,36.9,.
154391,1963,18.4,.
154392,1908,5.5,.
154393,1913,24.0,.
154393,1922,12.0,.
154393,1928,13.2,.
154394,1965,53.1,.
154395,1943,22.0,.
154396,1924,20.0,.
154397,1948,102.5,.
