GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_storage_energy_to_power_ratio
agg_Central_PV_AZ_APS_SW,Central_PV,Solar,AZ_APS_SW,20,True,False,.,0.0,63158.875831461286,.,0.0,0.0,162237.13711488753,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_AZ_NM_N,Central_PV,Solar,AZ_NM_N,20,True,False,.,0.0,67157.03295601744,.,0.0,0.0,145519.42988749692,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_AZ_NW,Central_PV,Solar,AZ_NW,20,True,False,.,0.0,71600.11406433638,.,0.0,0.0,25034.964239887147,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_AZ_PHX,Central_PV,Solar,AZ_PHX,20,True,False,.,0.0,46016.83169962426,.,0.0,0.0,50953.721662610624,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_AZ_SE,Central_PV,Solar,AZ_SE,20,True,False,.,0.0,59680.6533576512,.,0.0,0.0,113211.0169633319,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CAN_ALB,Central_PV,Solar,CAN_ALB,20,True,False,.,0.0,88262.06883374664,.,0.0,0.0,102388.3909775186,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CAN_BC,Central_PV,Solar,CAN_BC,20,True,False,.,0.0,61517.949180348805,.,0.0,0.0,2391.7629004665805,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_IID,Central_PV,Solar,CA_IID,20,True,False,.,0.0,73866.89547047681,.,0.0,0.0,72329.05443285905,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_PGE_BAY,Central_PV,Solar,CA_PGE_BAY,20,True,False,.,0.0,55029.691384750935,.,0.0,0.0,5213.66079204006,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_PGE_CEN,Central_PV,Solar,CA_PGE_CEN,20,True,False,.,0.0,58301.43479624257,.,0.0,0.0,20132.4962122431,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_PGE_N,Central_PV,Solar,CA_PGE_N,20,True,False,.,0.0,64584.83744040915,.,0.0,0.0,29735.93218633755,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_PGE_S,Central_PV,Solar,CA_PGE_S,20,True,False,.,0.0,61060.75536690188,.,0.0,0.0,13374.652535603529,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_SCE_CEN,Central_PV,Solar,CA_SCE_CEN,20,True,False,.,0.0,64899.071742329106,.,0.0,0.0,69507.16937435995,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_SCE_S,Central_PV,Solar,CA_SCE_S,20,True,False,.,0.0,73357.43435918931,.,0.0,0.0,14542.4732752924,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_SCE_SE,Central_PV,Solar,CA_SCE_SE,20,True,False,.,0.0,70695.66552194083,.,0.0,0.0,36533.26940650619,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_SCE_VLY,Central_PV,Solar,CA_SCE_VLY,20,True,False,.,0.0,50046.55024281082,.,0.0,0.0,2900.5049569848,0.0,False,.,.,1,.,.,.,.
agg_Central_PV_CA_SDGE,Central_PV,Solar,CA_SDGE,20,True,False,.,0.0,93327.7618363064,.,0.0,0.0,857.3717995612201,0.0,False,.,.,1,.,.,.,.
