timepoint_id,tp_to_hts
350664,2050_M1
350668,2050_M1
350672,2050_M1
350676,2050_M1
350680,2050_M1
350684,2050_M1
350688,2050_M1
350692,2050_M1
350696,2050_M1
350700,2050_M1
350704,2050_M1
350708,2050_M1
350712,2050_M1
350716,2050_M1
350720,2050_M1
350724,2050_M1
350728,2050_M1
350732,2050_M1
350736,2050_M1
350740,2050_M1
350744,2050_M1
350748,2050_M1
350752,2050_M1
350756,2050_M1
350760,2050_M1
350764,2050_M1
350768,2050_M1
350772,2050_M1
350776,2050_M1
350780,2050_M1
350784,2050_M1
350788,2050_M1
350792,2050_M1
350796,2050_M1
350800,2050_M1
350804,2050_M1
350808,2050_M1
350812,2050_M1
350816,2050_M1
350820,2050_M1
350824,2050_M1
350828,2050_M1
350832,2050_M1
350836,2050_M1
350840,2050_M1
350844,2050_M1
350848,2050_M1
350852,2050_M1
350856,2050_M1
350860,2050_M1
350864,2050_M1
350868,2050_M1
350872,2050_M1
350876,2050_M1
350880,2050_M1
350884,2050_M1
350888,2050_M1
350892,2050_M1
350896,2050_M1
350900,2050_M1
350904,2050_M1
350908,2050_M1
350912,2050_M1
350916,2050_M1
350920,2050_M1
350924,2050_M1
350928,2050_M1
350932,2050_M1
350936,2050_M1
350940,2050_M1
350944,2050_M1
350948,2050_M1
350952,2050_M1
350956,2050_M1
350960,2050_M1
350964,2050_M1
350968,2050_M1
350972,2050_M1
350976,2050_M1
350980,2050_M1
350984,2050_M1
350988,2050_M1
350992,2050_M1
350996,2050_M1
351000,2050_M1
351004,2050_M1
351008,2050_M1
351012,2050_M1
351016,2050_M1
351020,2050_M1
351024,2050_M1
351028,2050_M1
351032,2050_M1
351036,2050_M1
351040,2050_M1
351044,2050_M1
351048,2050_M1
351052,2050_M1
351056,2050_M1
351060,2050_M1
351064,2050_M1
351068,2050_M1
351072,2050_M1
351076,2050_M1
351080,2050_M1
351084,2050_M1
351088,2050_M1
351092,2050_M1
351096,2050_M1
351100,2050_M1
351104,2050_M1
351108,2050_M1
351112,2050_M1
351116,2050_M1
351120,2050_M1
351124,2050_M1
351128,2050_M1
351132,2050_M1
351136,2050_M1
351140,2050_M1
351144,2050_M1
351148,2050_M1
351152,2050_M1
351156,2050_M1
351160,2050_M1
351164,2050_M1
351168,2050_M1
351172,2050_M1
351176,2050_M1
351180,2050_M1
351184,2050_M1
351188,2050_M1
351192,2050_M1
351196,2050_M1
351200,2050_M1
351204,2050_M1
351208,2050_M1
351212,2050_M1
351216,2050_M1
351220,2050_M1
351224,2050_M1
351228,2050_M1
351232,2050_M1
351236,2050_M1
351240,2050_M1
351244,2050_M1
351248,2050_M1
351252,2050_M1
351256,2050_M1
351260,2050_M1
351264,2050_M1
351268,2050_M1
351272,2050_M1
351276,2050_M1
351280,2050_M1
351284,2050_M1
351288,2050_M1
351292,2050_M1
351296,2050_M1
351300,2050_M1
351304,2050_M1
351308,2050_M1
351312,2050_M1
351316,2050_M1
351320,2050_M1
351324,2050_M1
351328,2050_M1
351332,2050_M1
351336,2050_M1
351340,2050_M1
351344,2050_M1
351348,2050_M1
351352,2050_M1
351356,2050_M1
351360,2050_M1
351364,2050_M1
351368,2050_M1
351372,2050_M1
351376,2050_M1
351380,2050_M1
351384,2050_M2
351388,2050_M2
351392,2050_M2
351396,2050_M2
351400,2050_M2
351404,2050_M2
351408,2050_M2
351412,2050_M2
351416,2050_M2
351420,2050_M2
351424,2050_M2
351428,2050_M2
351432,2050_M2
351436,2050_M2
351440,2050_M2
351444,2050_M2
351448,2050_M2
351452,2050_M2
351456,2050_M2
351460,2050_M2
351464,2050_M2
351468,2050_M2
351472,2050_M2
351476,2050_M2
351480,2050_M2
351484,2050_M2
351488,2050_M2
351492,2050_M2
351496,2050_M2
351500,2050_M2
351504,2050_M2
351508,2050_M2
351512,2050_M2
351516,2050_M2
351520,2050_M2
351524,2050_M2
351528,2050_M2
351532,2050_M2
351536,2050_M2
351540,2050_M2
351544,2050_M2
351548,2050_M2
351552,2050_M2
351556,2050_M2
351560,2050_M2
351564,2050_M2
351568,2050_M2
351572,2050_M2
351576,2050_M2
351580,2050_M2
351584,2050_M2
351588,2050_M2
351592,2050_M2
351596,2050_M2
351600,2050_M2
351604,2050_M2
351608,2050_M2
351612,2050_M2
351616,2050_M2
351620,2050_M2
351624,2050_M2
351628,2050_M2
351632,2050_M2
351636,2050_M2
351640,2050_M2
351644,2050_M2
351648,2050_M2
351652,2050_M2
351656,2050_M2
351660,2050_M2
351664,2050_M2
351668,2050_M2
351672,2050_M2
351676,2050_M2
351680,2050_M2
351684,2050_M2
351688,2050_M2
351692,2050_M2
351696,2050_M2
