LOAD_ZONE,zone_ccs_distance_km,zone_dbid
AZ_APS_E,0.0,1
AZ_APS_N,70.93,2
AZ_APS_SW,0.0,3
AZ_NM_N,0.0,4
AZ_NW,255.24,5
AZ_PHX,262.21,6
AZ_SE,288.42,7
CA_IID,0.0,10
CA_LADWP,0.0,11
CAN_ALB,0.0,8
CAN_BC,0.0,9
CA_PGE_BAY,0.0,12
CA_PGE_CEN,0.0,13
CA_PGE_N,0.0,14
CA_PGE_S,0.0,15
CA_SCE_CEN,0.0,16
CA_SCE_S,0.0,17
CA_SCE_SE,32.72,18
CA_SCE_VLY,0.0,19
CA_SDGE,0.0,20
CA_SMUD,0.0,21
CO_DEN,0.0,22
CO_E,0.0,23
CO_NW,0.0,24
CO_SW,0.0,25
ID_E,0.0,26
ID_S_OR_E,246.79,27
MEX_BAJA,0.0,28
MT_NE,0.0,29
MT_NW,0.0,30
MT_SE,0.0,31
MT_SW,0.0,32
NM_N,0.0,33
NM_S_TX_EPE,0.0,34
NV_N,158.66,35
NV_S,257.51,36
OR_E,0.0,37
OR_PDX,0.0,38
OR_W,0.0,39
OR_WA_BPA,0.0,40
UT_N,0.0,41
UT_S,0.0,42
WA_ID_AVA,216.2,43
WA_N_CEN,79.41,44
WA_SEATAC,0.0,45
WA_W,0.0,46
WY_NE,0.0,47
WY_NW,0.0,48
WY_SE,0.0,49
WY_SW,0.0,50
