timepoint_id,timestamp,timeseries
350664,2050010200,2050_2050-year-round
350668,2050010204,2050_2050-year-round
350672,2050010208,2050_2050-year-round
350676,2050010212,2050_2050-year-round
350680,2050010216,2050_2050-year-round
350684,2050010220,2050_2050-year-round
350688,2050010300,2050_2050-year-round
350692,2050010304,2050_2050-year-round
350696,2050010308,2050_2050-year-round
350700,2050010312,2050_2050-year-round
350704,2050010316,2050_2050-year-round
350708,2050010320,2050_2050-year-round
350712,2050010400,2050_2050-year-round
350716,2050010404,2050_2050-year-round
350720,2050010408,2050_2050-year-round
350724,2050010412,2050_2050-year-round
350728,2050010416,2050_2050-year-round
350732,2050010420,2050_2050-year-round
350736,2050010500,2050_2050-year-round
350740,2050010504,2050_2050-year-round
350744,2050010508,2050_2050-year-round
350748,2050010512,2050_2050-year-round
350752,2050010516,2050_2050-year-round
350756,2050010520,2050_2050-year-round
350760,2050010600,2050_2050-year-round
350764,2050010604,2050_2050-year-round
350768,2050010608,2050_2050-year-round
350772,2050010612,2050_2050-year-round
350776,2050010616,2050_2050-year-round
350780,2050010620,2050_2050-year-round
350784,2050010700,2050_2050-year-round
350788,2050010704,2050_2050-year-round
350792,2050010708,2050_2050-year-round
350796,2050010712,2050_2050-year-round
350800,2050010716,2050_2050-year-round
350804,2050010720,2050_2050-year-round
350808,2050010800,2050_2050-year-round
350812,2050010804,2050_2050-year-round
350816,2050010808,2050_2050-year-round
350820,2050010812,2050_2050-year-round
350824,2050010816,2050_2050-year-round
350828,2050010820,2050_2050-year-round
350832,2050010900,2050_2050-year-round
350836,2050010904,2050_2050-year-round
350840,2050010908,2050_2050-year-round
350844,2050010912,2050_2050-year-round
350848,2050010916,2050_2050-year-round
350852,2050010920,2050_2050-year-round
350856,2050011000,2050_2050-year-round
350860,2050011004,2050_2050-year-round
350864,2050011008,2050_2050-year-round
350868,2050011012,2050_2050-year-round
350872,2050011016,2050_2050-year-round
350876,2050011020,2050_2050-year-round
350880,2050011100,2050_2050-year-round
350884,2050011104,2050_2050-year-round
350888,2050011108,2050_2050-year-round
350892,2050011112,2050_2050-year-round
350896,2050011116,2050_2050-year-round
350900,2050011120,2050_2050-year-round
350904,2050011200,2050_2050-year-round
350908,2050011204,2050_2050-year-round
350912,2050011208,2050_2050-year-round
350916,2050011212,2050_2050-year-round
350920,2050011216,2050_2050-year-round
350924,2050011220,2050_2050-year-round
350928,2050011300,2050_2050-year-round
350932,2050011304,2050_2050-year-round
350936,2050011308,2050_2050-year-round
350940,2050011312,2050_2050-year-round
350944,2050011316,2050_2050-year-round
350948,2050011320,2050_2050-year-round
350952,2050011400,2050_2050-year-round
350956,2050011404,2050_2050-year-round
350960,2050011408,2050_2050-year-round
350964,2050011412,2050_2050-year-round
350968,2050011416,2050_2050-year-round
350972,2050011420,2050_2050-year-round
350976,2050011500,2050_2050-year-round
350980,2050011504,2050_2050-year-round
