TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap,trans_dbid,trans_derating_factor,trans_terrain_multiplier,trans_new_build_allowed
1-2,AZ_APS_E,AZ_APS_N,374.127131818543,0.976752817805358,281.0,374,0.59,1.123,1
1-4,AZ_APS_E,AZ_NM_N,255.786216033525,0.984106181398537,3498.0,355,0.59,0.986,1
1-6,AZ_APS_E,AZ_PHX,260.672180238579,0.983802581658205,2928.0,363,0.59,1.294,1
1-7,AZ_APS_E,AZ_SE,307.176888707973,0.980912913043577,4138.0,384,0.59,1.257,1
1-34,AZ_APS_E,NM_S_TX_EPE,645.297989260515,0.959903041906484,657.0,391,0.59,0.901,1
2-3,AZ_APS_N,AZ_APS_SW,371.839097531316,0.976894989664651,3900.0,1536,0.59,1.014,1
2-4,AZ_APS_N,AZ_NM_N,289.658731672981,0.982001440855841,2006.0,1532,0.59,0.851,1
2-5,AZ_APS_N,AZ_NW,510.939718039563,0.968251677824035,484.0,1566,0.59,0.93,1
2-6,AZ_APS_N,AZ_PHX,381.010816142502,0.976325085491821,4006.0,1540,0.59,1.044,1
2-36,AZ_APS_N,NV_S,369.84583424947,0.97701884530284,3550.0,1544,0.59,0.957,0
2-42,AZ_APS_N,UT_S,861.023929456511,0.946498453440873,387.0,1556,0.59,0.893,1
3-5,AZ_APS_SW,AZ_NW,322.994082548482,0.979930078184125,896.0,831,0.59,0.803,1
3-6,AZ_APS_SW,AZ_PHX,107.118360164281,0.993343973683421,10847.0,804,0.59,0.765,1
3-7,AZ_APS_SW,AZ_SE,258.668804302018,0.983927065667625,4273.0,825,0.59,0.711,1
3-10,AZ_APS_SW,CA_IID,307.897548272137,0.980868133334319,2210.0,801,0.59,1.1635,1
3-17,AZ_APS_SW,CA_SCE_S,529.7570712623,0.967082421703359,2338.0,814,0.59,1.340625,0
3-18,AZ_APS_SW,CA_SCE_SE,387.999525390483,0.97589082723206,1266.0,833,0.59,1.16025,1
3-28,AZ_APS_SW,MEX_BAJA,314.757120322485,0.980441899288003,279.0,809,0.59,0.695,1
3-36,AZ_APS_SW,NV_S,464.087966338574,0.97116291070532,1905.0,808,0.59,0.82,0
4-25,AZ_NM_N,CO_SW,264.817917221901,0.983544977505002,2793.0,620,0.59,1.306,1
4-33,AZ_NM_N,NM_N,251.530720253276,0.984370605647191,3845.0,634,0.59,0.736,1
4-34,AZ_NM_N,NM_S_TX_EPE,625.807727474455,0.961114110626786,0.0,636,0.59,0.783,1
4-42,AZ_NM_N,UT_S,571.36519778353,0.964497012585033,1026.0,625,0.59,0.914,1
5-18,AZ_NW,CA_SCE_SE,378.999527328716,0.976450061184637,1249.0,2352,0.59,1.3715,1
5-36,AZ_NW,NV_S,141.093883790092,0.991232832521195,1527.0,2328,0.59,0.86,1
6-7,AZ_PHX,AZ_SE,197.329113355154,0.987738537357137,2063.0,1021,0.59,0.842,1
7-34,AZ_SE,NM_S_TX_EPE,635.326404834804,0.960522647436794,717.0,2057,0.59,0.809,1
10-17,CA_IID,CA_SCE_S,303.562383242271,0.981137508000634,1754.0,863,0.59,1.80675,1
10-18,CA_IID,CA_SCE_SE,264.815168189057,0.983545148321984,1685.0,882,0.59,1.611,1
10-20,CA_IID,CA_SDGE,134.964541124884,0.991613692217147,5196.0,862,0.59,2.538,1
10-28,CA_IID,MEX_BAJA,20.1860603640344,0.998745696360502,2608.0,858,0.59,1.18625,1
11-16,CA_LADWP,CA_SCE_CEN,143.742448211831,0.99106825835795,11689.0,1934,0.59,2.56725,1
11-17,CA_LADWP,CA_SCE_S,123.304090288129,0.992338239040992,10524.0,1942,0.59,2.55375,1
11-40,CA_LADWP,OR_WA_BPA,1361.76484560006,0.91538385543426,3100.0,1931,0.91,1.691625,0
8-9,CAN_ALB,CAN_BC,1023.95365171689,0.93637446986369,1369.0,523,0.59,1.492,1
8-29,CAN_ALB,MT_NE,874.589795907389,0.945655509579842,541.0,505,0.59,0.736,1
8-30,CAN_ALB,MT_NW,1020.03429149799,0.936618007616893,0.0,530,0.59,1.461,1
9-30,CAN_BC,MT_NW,682.465302463106,0.957593572134789,0.0,1657,0.59,1.751,0
9-43,CAN_BC,WA_ID_AVA,526.919109174103,0.967258764491985,506.0,1619,0.59,1.777,1
9-44,CAN_BC,WA_N_CEN,441.648324526745,0.97255724540392,0.0,1653,0.59,1.729,1
9-46,CAN_BC,WA_W,506.296456070394,0.9685401967466,5196.0,1652,0.59,1.44,1
12-13,CA_PGE_BAY,CA_PGE_CEN,92.655845151117,0.994242632703069,12281.0,2080,0.59,2.052,1
12-14,CA_PGE_BAY,CA_PGE_N,217.149764231755,0.986506939210526,10201.0,2063,0.59,1.899,1
12-21,CA_PGE_BAY,CA_SMUD,127.306616014696,0.992089533622725,750.0,2070,0.59,1.935,1
13-14,CA_PGE_CEN,CA_PGE_N,309.805609382872,0.980749571913595,325.0,1034,0.59,1.94625,0
13-15,CA_PGE_CEN,CA_PGE_S,232.938271289008,0.985525886865145,9975.0,1057,0.59,1.79325,1
13-19,CA_PGE_CEN,CA_SCE_VLY,316.38033184614,0.980341037600032,1541.0,1074,0.59,1.9845,1
13-21,CA_PGE_CEN,CA_SMUD,219.962461165813,0.986332166325794,1942.0,1041,0.59,1.9845,1
13-35,CA_PGE_CEN,NV_N,456.825899667176,0.971614154607891,0.0,1073,0.59,2.0296250000000002,1
14-21,CA_PGE_N,CA_SMUD,178.057734537511,0.988936005320335,7217.0,207,0.59,2.3602499999999997,1
14-35,CA_PGE_N,NV_N,295.882291065644,0.981614726803863,311.0,240,0.59,2.289625,1
14-37,CA_PGE_N,OR_E,295.965058700777,0.981609583861451,6958.0,219,0.59,2.55125,1
14-39,CA_PGE_N,OR_W,655.337461576488,0.959279218018243,129.0,197,0.59,2.494375,0
15-16,CA_PGE_S,CA_SCE_CEN,245.509536075419,0.984744744686318,9676.0,1395,0.59,2.1487499999999997,1
15-19,CA_PGE_S,CA_SCE_VLY,112.453546887056,0.993012460549947,1541.0,1417,0.59,1.8337499999999998,1
16-17,CA_SCE_CEN,CA_SCE_S,49.5670367368522,0.996920047128715,13804.0,1108,0.59,2.3040000000000003,1
16-18,CA_SCE_CEN,CA_SCE_SE,280.449434765922,0.982580780449322,0.0,2453,0.59,3.375,1
16-19,CA_SCE_CEN,CA_SCE_VLY,256.986867763379,0.984031576358853,0.0,1123,0.59,2.2275,1
16-35,CA_SCE_CEN,NV_N,826.225611870713,0.948660720649487,54.0,1122,0.59,1.45275,1
16-36,CA_SCE_CEN,NV_S,303.190402430364,0.981160621816693,9923.0,1102,0.59,1.470625,1
16-42,CA_SCE_CEN,UT_S,801.882265900713,0.95017334604033,1920.0,1115,0.91,1.386125,0
17-18,CA_SCE_S,CA_SCE_SE,220.603691413411,0.986292322125449,0.0,1519,0.59,2.13525,1
17-20,CA_SCE_S,CA_SDGE,211.627958528212,0.986850048309857,4780.0,1500,0.59,2.7517500000000004,1
18-36,CA_SCE_SE,NV_S,251.159111023096,0.984393696374231,718.0,2426,0.59,1.4495,1
20-28,CA_SDGE,MEX_BAJA,155.150601488919,0.990359388577649,796.0,1447,0.59,1.7485000000000002,1
22-23,CO_DEN,CO_E,134.716378549072,0.991629112324707,8130.0,1890,0.59,0.971,1
22-24,CO_DEN,CO_NW,344.190720587729,0.978612980159138,2284.0,1872,0.59,1.619,1
22-49,CO_DEN,WY_SE,333.739250708445,0.97926240438909,2035.0,1866,0.59,0.726,1
23-24,CO_E,CO_NW,353.607061300236,0.978036828490669,0.0,2451,0.59,1.5,1
23-25,CO_E,CO_SW,316.437572057512,0.980337480858194,319.0,1355,0.59,1.464,1
23-33,CO_E,NM_N,571.980281264663,0.964458793069433,612.0,1369,0.59,1.118,1
23-49,CO_E,WY_SE,452.749044360169,0.971867478652161,1507.0,1327,0.59,0.888,0
24-25,CO_NW,CO_SW,303.612310841661,0.981134405643438,2415.0,473,0.59,1.352,1
24-41,CO_NW,UT_N,486.763217046164,0.969753935948675,1430.0,448,0.59,1.121,1
24-42,CO_NW,UT_S,522.580620065525,0.967528345706976,0.0,478,0.59,1.096,1
24-49,CO_NW,WY_SE,469.641871788625,0.970817807020213,320.0,445,0.59,1.015,1
24-50,CO_NW,WY_SW,223.973633842948,0.986082923610928,0.0,459,0.59,0.869,1
25-33,CO_SW,NM_N,516.348637475178,0.967915583152193,0.0,1614,0.59,1.028,1
25-42,CO_SW,UT_S,459.228366070185,0.971464872266577,0.0,1605,0.59,1.199,1
26-27,ID_E,ID_S_OR_E,223.86630719886,0.986089592579408,4234.0,712,0.59,0.788,1
26-32,ID_E,MT_SW,401.024961977403,0.975081464125917,484.0,700,0.59,1.036,1
26-41,ID_E,UT_N,348.532878706571,0.978343170962419,4552.0,693,0.59,0.988,1
26-48,ID_E,WY_NW,410.480818802106,0.974493904423038,0.0,729,0.59,1.511,1
26-50,ID_E,WY_SW,364.041447359957,0.977379513183014,3236.0,704,0.59,1.034,1
27-30,ID_S_OR_E,MT_NW,725.611752851851,0.954912576002902,0.0,1314,0.59,1.359,1
27-32,ID_S_OR_E,MT_SW,592.005821470091,0.963214463690169,0.0,1288,0.59,0.979,1
27-35,ID_S_OR_E,NV_N,656.716405882438,0.959193534391501,1076.0,1318,0.59,0.881,1
27-37,ID_S_OR_E,OR_E,718.385084851475,0.955361620334032,3259.0,1298,0.59,1.008,1
27-40,ID_S_OR_E,OR_WA_BPA,721.731375725427,0.95515369145904,824.0,1294,0.59,0.978,1
27-43,ID_S_OR_E,WA_ID_AVA,870.485342749549,0.945910548475059,350.0,1276,0.59,1.097,1
29-30,MT_NE,MT_NW,401.267942432355,0.975066366020419,478.0,775,0.59,1.298,0
29-31,MT_NE,MT_SE,258.732466123206,0.983923109905452,694.0,741,0.59,0.819,1
29-32,MT_NE,MT_SW,222.460546162956,0.986176942520496,567.0,749,0.59,1.138,1
30-32,MT_NW,MT_SW,256.671081960842,0.984051198378915,7922.0,1974,0.59,1.829,1
30-43,MT_NW,WA_ID_AVA,155.546193289002,0.990334807642803,6789.0,1962,0.59,1.661,1
31-32,MT_SE,MT_SW,362.761448923871,0.977459048598443,6986.0,258,0.59,1.18,1
31-47,MT_SE,WY_NE,387.423507349092,0.975926619333773,327.0,248,0.59,0.85,1
31-48,MT_SE,WY_NW,322.504258101401,0.979960514464192,537.0,288,0.59,0.834,1
32-48,MT_SW,WY_NW,685.265707025273,0.957419563062635,0.0,680,0.59,1.017,1
33-34,NM_N,NM_S_TX_EPE,374.277007221179,0.976743504979596,897.0,2302,0.59,0.815,1
35-36,NV_N,NV_S,748.717652801761,0.953476841942943,0.0,2181,0.59,0.941,1
35-37,NV_N,OR_E,392.53698580642,0.975608882513222,1287.0,2180,0.59,1.205,1
35-41,NV_N,UT_N,882.835889387454,0.945143121086141,0.0,2163,0.59,1.005,1
35-42,NV_N,UT_S,806.998461632996,0.949855440376141,761.0,2194,0.59,1.025,1
36-42,NV_S,UT_S,498.847111119691,0.969003077581941,300.0,1213,0.59,1.009,1
37-39,OR_E,OR_W,359.372402875711,0.977669634156792,2514.0,1128,0.59,1.506,1
