LOAD_ZONE,balancing_area
CA_SDGE,CA
ID_S_OR_E,NWPP
CA_LADWP,CA
OR_W,NWPP
WA_W,NWPP
OR_WA_BPA,NWPP
AZ_APS_N,AZNMSNV
CA_SMUD,CA
CA_SCE_S,CA
WY_NE,RMPA
AZ_NW,AZNMSNV
CA_PGE_BAY,CA
CA_PGE_S,CA
CA_PGE_CEN,CA
CO_NW,RMPA
MT_NE,NWPP
CA_SCE_CEN,CA
AZ_APS_SW,AZNMSNV
CO_SW,RMPA
CO_E,RMPA
ID_E,NWPP
NM_N,AZNMSNV
UT_N,NWPP
MT_SE,NWPP
NM_S_TX_EPE,AZNMSNV
CA_IID,CA
UT_S,NWPP
CA_SCE_SE,CA
CA_SCE_VLY,CA
OR_E,NWPP
MT_SW,NWPP
OR_PDX,NWPP
CAN_ALB,NWPP_CAN
WY_NW,NWPP
MEX_BAJA,MX
MT_NW,NWPP
WY_SW,NWPP
AZ_PHX,AZNMSNV
NV_S,AZNMSNV
AZ_NM_N,AZNMSNV
WA_N_CEN,NWPP
AZ_APS_E,AZNMSNV
WY_SE,RMPA
CO_DEN,RMPA
WA_SEATAC,NWPP
WA_ID_AVA,NWPP
CA_PGE_N,CA
NV_N,NWPP
CAN_BC,NWPP_CAN
AZ_SE,AZNMSNV
_ALL_ZONES,.
