STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
154496,2016,20
154886,2012,6.8
155173,2016,20
155315,2018,0.5
155606,2016,10
155610,2016,10
155912,2015,2.5
156265,2017,1
156340,2011,1.3
156418,2013,14
156419,2013,28
156533,2016,32
156604,2015,0.5
156604,2016,0.5
156605,2017,8
156657,2016,2
156710,2013,1.3
156711,2016,4.4
156730,2012,1.5
156730,2014,3
156731,2012,1.1667
156731,2015,2.33
156732,2015,6
156733,2014,3
156734,2017,30
156735,2017,120
156742,2016,80
156756,2016,8
156781,2017,1
156789,2017,2.5
156800,2017,8
156817,2017,2.5
156856,2018,10
156857,2017,2.2
156897,2018,40
156899,2018,40
156906,2018,33.5
156907,2018,34.8
156934,2018,8
156935,2018,12.6
156940,2018,0.9
156968,2018,4
157015,2019,40
157017,2021,1200
157019,2020,730
157030,2020,12
157031,2019,0.5
157037,2019,4
157038,2021,26
157061,2022,160
157065,2021,400
157069,2020,40
157074,2021,80
157081,2020,3.6
157082,2019,111.2
157083,2020,3.7
157084,2021,36
157085,2021,24
157086,2021,60
157093,2019,2
157095,2022,100
157096,2022,40
157127,2021,120
157131,2020,40
157139,2020,6
5011_1,2050,3133
5011_10,2050,57040
5011_11,2050,5209.6
5011_12,2050,38945
5011_13,2050,59850
5011_14,2050,1.1752e+05
5011_15,2050,48971
5011_16,2050,2.9234e+05
5011_17,2050,71024
5011_18,2050,21228
5011_19,2050,11529
5011_2,2050,0.0044574
5011_20,2050,12549
5011_21,2050,7104.1
5011_22,2050,0.0060668
5011_23,2050,3428.1
5011_24,2050,4709.6
5011_25,2050,9080.7
5011_26,2050,25144
5011_27,2050,36606
5011_28,2050,1.0634e+05
5011_29,2050,854.26
5011_3,2050,76196
5011_30,2050,2740.3
5011_31,2050,0.0026953
5011_32,2050,222.67
5011_33,2050,476.59
5011_34,2050,29753
5011_35,2050,97909
5011_36,2050,1.2619e+05
5011_37,2050,5883.5
5011_38,2050,0.0038805
5011_39,2050,53362
5011_4,2050,15910
5011_40,2050,0.0019937
5011_41,2050,18051
5011_42,2050,54619
5011_43,2050,0.0010346
5011_44,2050,0.00097701
5011_45,2050,4909.1
5011_46,2050,0.047889
5011_47,2050,5910.8
5011_48,2050,6755.3
5011_49,2050,7598.2
5011_5,2050,18753
5011_50,2050,2149.1
5011_6,2050,33168
5011_7,2050,1.3497e+05
5011_8,2050,3.0027e+05
5011_9,2050,9460.7
