load_zone,period,ZoneTotalCentralDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
AZ_APS_E,2050,2.5646e+06,3.7566e+06,-3.3131e+06,-3.0081e+06
AZ_APS_N,2050,3.9066e+06,6.0251e+06,-9.9317e+06,-5.1461
AZ_APS_SW,2050,1.1063e+08,-7.0893e+07,-8.4795e+06,-3.1255e+07
AZ_NM_N,2050,1.8198e+07,-3.4963e+06,-5.7447e+06,-8.9571e+06
AZ_NW,2050,1.7306e+07,-1.3973e+06,-7.4587e+06,-8.4504e+06
AZ_PHX,2050,3.5377e+07,7.0894e+07,-8.9815e+07,-1.6457e+07
AZ_SE,2050,1.2078e+08,-2.5001e+07,-4.3939e+07,-5.1839e+07
CAN_ALB,2050,1.5828e+08,1.5556e+07,-1.4658e+08,-2.7261e+07
CAN_BC,2050,8.8344e+07,4.3329e+07,-1.2957e+08,-2.1017e+06
CA_IID,2050,5.7876e+07,-2.7074e+07,-5.6849e+06,-2.5117e+07
CA_LADWP,2050,2.369e+06,4.5175e+07,-4.5093e+07,-2.4508e+06
CA_PGE_BAY,2050,2.4101e+07,5.8328e+07,-6.7237e+07,-1.5192e+07
CA_PGE_CEN,2050,7.6284e+07,-4.1041e+06,-4.8112e+07,-2.4068e+07
CA_PGE_N,2050,1.2989e+08,-4.7424e+07,-4.0675e+07,-4.1796e+07
CA_PGE_S,2050,4.9169e+07,-1.2628e+07,-1.5776e+07,-2.0766e+07
CA_SCE_CEN,2050,2.9141e+08,-1.4797e+08,-3.1531e+07,-1.1191e+08
CA_SCE_S,2050,6.5355e+07,1.2516e+08,-1.6123e+08,-2.9289e+07
CA_SCE_SE,2050,1.9657e+07,-8.3886e+06,-5.2723e+05,-1.0741e+07
CA_SCE_VLY,2050,1.0997e+07,2.8186e+06,-8.097e+06,-5.7188e+06
CA_SDGE,2050,8.6479e+06,3.5304e+07,-3.6494e+07,-7.458e+06
CA_SMUD,2050,3.7565e+06,2.1764e+07,-2.1906e+07,-3.6147e+06
CO_DEN,2050,9.726e+06,-3.471e+06,-6.2551e+06,-5.7816
CO_E,2050,2.1529e+06,1.9359e+07,-1.9391e+07,-2.1203e+06
CO_NW,2050,8.7288e+06,-2.1209e+06,-4.227e+06,-2.381e+06
CO_SW,2050,1.0326e+07,-6.2446e+05,-5.5673e+06,-4.1345e+06
ID_E,2050,3.3898e+07,-1.0259e+07,-1.338e+07,-1.0259e+07
ID_S_OR_E,2050,4.3549e+07,9.7755e+05,-3.0616e+07,-1.3911e+07
MEX_BAJA,2050,1.0098e+08,-3.1849e+07,-2.5957e+07,-4.3178e+07
MT_NE,2050,7.0569e+06,-2.1926e+06,-4.4176e+06,-4.4673e+05
MT_NW,2050,1.0046e+07,-9.856e+05,-7.4258e+06,-1.635e+06
MT_SE,2050,2.4874e+06,1.9131e+06,-4.4005e+06,-2.5553
MT_SW,2050,9.0702e+06,-2.2267e+06,-6.6472e+06,-1.9632e+05
NM_N,2050,1.1531e+07,3.8329e+06,-1.5162e+07,-2.0176e+05
NM_S_TX_EPE,2050,2.9492e+07,-94618,-1.6876e+07,-1.2522e+07
NV_N,2050,8.6474e+07,-2.9087e+07,-1.9298e+07,-3.8089e+07
NV_S,2050,1.2045e+08,-2.197e+07,-4.9032e+07,-4.9446e+07
OR_E,2050,2.1798e+07,-1.1728e+07,-6.8301e+06,-3.2393e+06
OR_PDX,2050,9.0751e+06,3.4423e+07,-4.3498e+07,-3.669
OR_W,2050,9.2942e+07,-3.4052e+07,-3.9199e+07,-1.969e+07
OR_WA_BPA,2050,6.0607e+07,-4.3575e+07,-1.7033e+07,-1.1618
UT_N,2050,1.7788e+07,2.8819e+07,-4.0194e+07,-6.4137e+06
UT_S,2050,6.1311e+07,-2.9256e+07,-8.096e+06,-2.3959e+07
WA_ID_AVA,2050,2.9042e+07,-3.9362e+06,-2.5106e+07,-0.60764
WA_N_CEN,2050,5.5697e+07,-4.1174e+07,-1.4523e+07,-0.57529
WA_SEATAC,2050,2.2706e+06,5.9577e+07,-5.9294e+07,-2.5537e+06
WA_W,2050,1.5725e+07,2.0411e+07,-3.6136e+07,-44.961
WY_NE,2050,5.7232e+06,2.9819e+06,-6.0567e+06,-2.6484e+06
WY_NW,2050,6.5366e+06,-1.512e+06,-1.9477e+06,-3.0769e+06
WY_SE,2050,2.155e+07,-1.1515e+07,-6.888e+06,-3.1466e+06
WY_SW,2050,4.9228e+06,-2.0492e+06,-2.0624e+06,-8.1115e+05
