generation_project,period,load_zone,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
5011_1,2050,AZ_APS_E,868.74,3133
5011_10,2050,CA_IID,7505.1,57040
5011_11,2050,CA_LADWP,635.08,5209.6
5011_12,2050,CA_PGE_BAY,5399.4,38945
5011_13,2050,CA_PGE_CEN,8940.9,59850
5011_14,2050,CA_PGE_N,15452,1.1752e+05
5011_15,2050,CA_PGE_S,7167.6,48971
5011_16,2050,CA_SCE_CEN,38003,2.9234e+05
5011_17,2050,CA_SCE_S,9166.7,71024
5011_18,2050,CA_SCE_SE,3082.2,21228
5011_19,2050,CA_SCE_VLY,1844.5,11529
5011_2,2050,AZ_APS_N,0.0012234,0.0044574
5011_20,2050,CA_SDGE,2945.2,12549
5011_21,2050,CA_SMUD,1101.8,7104.1
5011_22,2050,CO_DEN,0.0014089,0.0060668
5011_23,2050,CO_E,694.12,3428.1
5011_24,2050,CO_NW,649.46,4709.6
5011_25,2050,CO_SW,1138.2,9080.7
5011_26,2050,ID_E,3237.8,25144
5011_27,2050,ID_S_OR_E,4275.4,36606
5011_28,2050,MEX_BAJA,14166,1.0634e+05
5011_29,2050,MT_NE,124.75,854.26
5011_3,2050,AZ_APS_SW,8948.9,76196
5011_30,2050,MT_NW,592.36,2740.3
5011_31,2050,MT_SE,0.00063158,0.0026953
5011_32,2050,MT_SW,52.259,222.67
5011_33,2050,NM_N,44.051,476.59
5011_34,2050,NM_S_TX_EPE,3619.3,29753
5011_35,2050,NV_N,12261,97909
5011_36,2050,NV_S,16556,1.2619e+05
5011_37,2050,OR_E,1047.6,5883.5
5011_38,2050,OR_PDX,0.00090721,0.0038805
5011_39,2050,OR_W,7398.2,53362
5011_4,2050,AZ_NM_N,3179.8,15910
5011_40,2050,OR_WA_BPA,0.00027701,0.0019937
5011_41,2050,UT_N,1668.4,18051
5011_42,2050,UT_S,8271.6,54619
5011_43,2050,WA_ID_AVA,0.00014556,0.0010346
5011_44,2050,WA_N_CEN,0.0001382,0.00097701
5011_45,2050,WA_SEATAC,981.15,4909.1
5011_46,2050,WA_W,0.011206,0.047889
5011_47,2050,WY_NE,819.49,5910.8
5011_48,2050,WY_NW,936.57,6755.3
5011_49,2050,WY_SE,906,7598.2
5011_5,2050,AZ_NW,2306.1,18753
5011_50,2050,WY_SW,198.64,2149.1
5011_6,2050,AZ_PHX,6125.9,33168
5011_7,2050,AZ_SE,17277,1.3497e+05
5011_8,2050,CAN_ALB,16557,3.0027e+05
5011_9,2050,CAN_BC,1332.5,9460.7
