timepoint,timestamp,hours_per_year,timeseries,period
350664,2050010200,4.0137,2050_2050-year-round,2050
350668,2050010204,4.0137,2050_2050-year-round,2050
350672,2050010208,4.0137,2050_2050-year-round,2050
350676,2050010212,4.0137,2050_2050-year-round,2050
350680,2050010216,4.0137,2050_2050-year-round,2050
350684,2050010220,4.0137,2050_2050-year-round,2050
350688,2050010300,4.0137,2050_2050-year-round,2050
350692,2050010304,4.0137,2050_2050-year-round,2050
350696,2050010308,4.0137,2050_2050-year-round,2050
350700,2050010312,4.0137,2050_2050-year-round,2050
350704,2050010316,4.0137,2050_2050-year-round,2050
350708,2050010320,4.0137,2050_2050-year-round,2050
350712,2050010400,4.0137,2050_2050-year-round,2050
350716,2050010404,4.0137,2050_2050-year-round,2050
350720,2050010408,4.0137,2050_2050-year-round,2050
350724,2050010412,4.0137,2050_2050-year-round,2050
350728,2050010416,4.0137,2050_2050-year-round,2050
350732,2050010420,4.0137,2050_2050-year-round,2050
350736,2050010500,4.0137,2050_2050-year-round,2050
350740,2050010504,4.0137,2050_2050-year-round,2050
350744,2050010508,4.0137,2050_2050-year-round,2050
350748,2050010512,4.0137,2050_2050-year-round,2050
350752,2050010516,4.0137,2050_2050-year-round,2050
350756,2050010520,4.0137,2050_2050-year-round,2050
350760,2050010600,4.0137,2050_2050-year-round,2050
350764,2050010604,4.0137,2050_2050-year-round,2050
350768,2050010608,4.0137,2050_2050-year-round,2050
350772,2050010612,4.0137,2050_2050-year-round,2050
350776,2050010616,4.0137,2050_2050-year-round,2050
350780,2050010620,4.0137,2050_2050-year-round,2050
350784,2050010700,4.0137,2050_2050-year-round,2050
350788,2050010704,4.0137,2050_2050-year-round,2050
350792,2050010708,4.0137,2050_2050-year-round,2050
350796,2050010712,4.0137,2050_2050-year-round,2050
350800,2050010716,4.0137,2050_2050-year-round,2050
350804,2050010720,4.0137,2050_2050-year-round,2050
350808,2050010800,4.0137,2050_2050-year-round,2050
350812,2050010804,4.0137,2050_2050-year-round,2050
350816,2050010808,4.0137,2050_2050-year-round,2050
350820,2050010812,4.0137,2050_2050-year-round,2050
350824,2050010816,4.0137,2050_2050-year-round,2050
350828,2050010820,4.0137,2050_2050-year-round,2050
350832,2050010900,4.0137,2050_2050-year-round,2050
350836,2050010904,4.0137,2050_2050-year-round,2050
350840,2050010908,4.0137,2050_2050-year-round,2050
350844,2050010912,4.0137,2050_2050-year-round,2050
350848,2050010916,4.0137,2050_2050-year-round,2050
350852,2050010920,4.0137,2050_2050-year-round,2050
350856,2050011000,4.0137,2050_2050-year-round,2050
350860,2050011004,4.0137,2050_2050-year-round,2050
350864,2050011008,4.0137,2050_2050-year-round,2050
350868,2050011012,4.0137,2050_2050-year-round,2050
350872,2050011016,4.0137,2050_2050-year-round,2050
350876,2050011020,4.0137,2050_2050-year-round,2050
350880,2050011100,4.0137,2050_2050-year-round,2050
350884,2050011104,4.0137,2050_2050-year-round,2050
350888,2050011108,4.0137,2050_2050-year-round,2050
350892,2050011112,4.0137,2050_2050-year-round,2050
350896,2050011116,4.0137,2050_2050-year-round,2050
350900,2050011120,4.0137,2050_2050-year-round,2050
