TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,existing_trans_cap,BuildTx,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
1-2,2050,AZ_APS_E,AZ_APS_N,374,374.13,0.97675,0.59,281,0,281,165.79,9.3442e-05
1-4,2050,AZ_APS_E,AZ_NM_N,355,255.79,0.98411,0.59,3498,0,3498,2063.8,0.0038145
1-6,2050,AZ_APS_E,AZ_PHX,363,260.67,0.9838,0.59,2928,0,2928,1727.5,0.011087
1-7,2050,AZ_APS_E,AZ_SE,384,307.18,0.98091,0.59,4138,0,4138,2441.4,0.0035889
1-34,2050,AZ_APS_E,NM_S_TX_EPE,391,645.3,0.9599,0.59,657,0,657,387.63,0.00050066
2-3,2050,AZ_APS_N,AZ_APS_SW,1536,371.84,0.97689,0.59,3900,0,3900,2301,0.0058444
2-4,2050,AZ_APS_N,AZ_NM_N,1532,289.66,0.982,0.59,2006,0,2006,1183.5,0.00077227
2-5,2050,AZ_APS_N,AZ_NW,1566,510.94,0.96825,0.59,484,0,484,285.56,0.0013983
2-6,2050,AZ_APS_N,AZ_PHX,1540,381.01,0.97633,0.59,4006,0,4006,2363.5,0.010706
2-36,2050,AZ_APS_N,NV_S,1544,369.85,0.97702,0.59,3550,.,3550,2094.5,0
2-42,2050,AZ_APS_N,UT_S,1556,861.02,0.9465,0.59,387,0,387,228.33,3.1615e-05
3-5,2050,AZ_APS_SW,AZ_NW,831,322.99,0.97993,0.59,896,0,896,528.64,0.0026131
3-6,2050,AZ_APS_SW,AZ_PHX,804,107.12,0.99334,0.59,10847,3362.7,14210,8383.7,2.1375e+07
3-7,2050,AZ_APS_SW,AZ_SE,825,258.67,0.98393,0.59,4273,0,4273,2521.1,0.0029875
3-10,2050,AZ_APS_SW,CA_IID,801,307.9,0.98087,0.59,2210,0,2210,1303.9,0.003159
3-17,2050,AZ_APS_SW,CA_SCE_S,814,529.76,0.96708,0.59,2338,.,2338,1379.4,0
3-18,2050,AZ_APS_SW,CA_SCE_SE,833,388,0.97589,0.59,1266,0,1266,746.94,0.0049415
3-28,2050,AZ_APS_SW,MEX_BAJA,809,314.76,0.98044,0.59,279,0,279,164.61,3.3624e-05
3-36,2050,AZ_APS_SW,NV_S,808,464.09,0.97116,0.59,1905,.,1905,1124,0
4-25,2050,AZ_NM_N,CO_SW,620,264.82,0.98354,0.59,2793,0,2793,1647.9,0.0054677
4-33,2050,AZ_NM_N,NM_N,634,251.53,0.98437,0.59,3845,0,3845,2268.6,0.00069859
4-34,2050,AZ_NM_N,NM_S_TX_EPE,636,625.81,0.96111,0.59,0,0,0,0,0.17059
4-42,2050,AZ_NM_N,UT_S,625,571.37,0.9645,0.59,1026,0,1026,605.34,0.0019406
5-18,2050,AZ_NW,CA_SCE_SE,2352,379,0.97645,0.59,1249,0,1249,736.91,0.0024066
5-36,2050,AZ_NW,NV_S,2328,141.09,0.99123,0.59,1527,0,1527,900.93,0.0036582
6-7,2050,AZ_PHX,AZ_SE,1021,197.33,0.98774,0.59,2063,0,2063,1217.2,0.0010801
7-34,2050,AZ_SE,NM_S_TX_EPE,2057,635.33,0.96052,0.59,717,0,717,423.03,0.0014951
10-17,2050,CA_IID,CA_SCE_S,863,303.56,0.98114,0.59,1754,0,1754,1034.9,0.0087472
10-18,2050,CA_IID,CA_SCE_SE,882,264.82,0.98355,0.59,1685,0,1685,994.15,0.0027076
10-20,2050,CA_IID,CA_SDGE,862,134.96,0.99161,0.59,5196,0,5196,3065.6,0.0035884
10-28,2050,CA_IID,MEX_BAJA,858,20.186,0.99875,0.59,2608,0,2608,1538.7,6.0786e-05
11-16,2050,CA_LADWP,CA_SCE_CEN,1934,143.74,0.99107,0.59,11689,0,11689,6896.5,1.8749e-05
11-17,2050,CA_LADWP,CA_SCE_S,1942,123.3,0.99234,0.59,10524,0,10524,6209.2,0.0092873
11-40,2050,CA_LADWP,OR_WA_BPA,1931,1361.8,0.91538,0.91,3100,.,3100,2821,0
8-9,2050,CAN_ALB,CAN_BC,523,1024,0.93637,0.59,1369,1510.8,2879.8,1699.1,1.7904e+08
8-29,2050,CAN_ALB,MT_NE,505,874.59,0.94566,0.59,541,10727,11268,6648.2,5.3563e+08
8-30,2050,CAN_ALB,MT_NW,530,1020,0.93662,0.59,0,0,0,0,0.58776
9-30,2050,CAN_BC,MT_NW,1657,682.47,0.95759,0.59,0,.,0,0,0
9-43,2050,CAN_BC,WA_ID_AVA,1619,526.92,0.96726,0.59,506,0,506,298.54,0.00075547
9-44,2050,CAN_BC,WA_N_CEN,1653,441.65,0.97256,0.59,0,3564.5,3564.5,2103.1,2.1114e+08
9-46,2050,CAN_BC,WA_W,1652,506.3,0.96854,0.59,5196,0,5196,3065.6,0.0078392
12-13,2050,CA_PGE_BAY,CA_PGE_CEN,2080,92.656,0.99424,0.59,12281,0,12281,7245.8,0.0023195
12-14,2050,CA_PGE_BAY,CA_PGE_N,2063,217.15,0.98651,0.59,10201,0,10201,6018.6,0.0083649
12-21,2050,CA_PGE_BAY,CA_SMUD,2070,127.31,0.99209,0.59,750,0,750,442.5,0.00121
13-14,2050,CA_PGE_CEN,CA_PGE_N,1034,309.81,0.98075,0.59,325,.,325,191.75,0
13-15,2050,CA_PGE_CEN,CA_PGE_S,1057,232.94,0.98553,0.59,9975,0,9975,5885.3,0.0033139
13-19,2050,CA_PGE_CEN,CA_SCE_VLY,1074,316.38,0.98034,0.59,1541,0,1541,909.19,0.00207
13-21,2050,CA_PGE_CEN,CA_SMUD,1041,219.96,0.98633,0.59,1942,0,1942,1145.8,0.015747
13-35,2050,CA_PGE_CEN,NV_N,1073,456.83,0.97161,0.59,0,0,0,0,0.70483
14-21,2050,CA_PGE_N,CA_SMUD,207,178.06,0.98894,0.59,7217,0,7217,4258,0.01214
14-35,2050,CA_PGE_N,NV_N,240,295.88,0.98161,0.59,311,2990.4,3301.4,1947.8,1.5715e+08
14-37,2050,CA_PGE_N,OR_E,219,295.97,0.98161,0.59,6958,0,6958,4105.2,0.0055252
14-39,2050,CA_PGE_N,OR_W,197,655.34,0.95928,0.59,129,.,129,76.11,0
15-16,2050,CA_PGE_S,CA_SCE_CEN,1395,245.51,0.98474,0.59,9676,0,9676,5708.8,0.014632
15-19,2050,CA_PGE_S,CA_SCE_VLY,1417,112.45,0.99301,0.59,1541,309.55,1850.5,1091.8,4.9515e+06
16-17,2050,CA_SCE_CEN,CA_SCE_S,1108,49.567,0.99692,0.59,13804,7518.7,21323,12580,6.6606e+07
16-18,2050,CA_SCE_CEN,CA_SCE_SE,2453,280.45,0.98258,0.59,0,0,0,0,0.26834
16-19,2050,CA_SCE_CEN,CA_SCE_VLY,1123,256.99,0.98403,0.59,0,216.51,216.51,127.74,9.6139e+06
16-35,2050,CA_SCE_CEN,NV_N,1122,826.23,0.94866,0.59,54,0,54,31.86,0.00022518
16-36,2050,CA_SCE_CEN,NV_S,1102,303.19,0.98116,0.59,9923,0,9923,5854.6,0.065834
16-42,2050,CA_SCE_CEN,UT_S,1115,801.88,0.95017,0.91,1920,.,1920,1747.2,0
17-18,2050,CA_SCE_S,CA_SCE_SE,1519,220.6,0.98629,0.59,0,1065.5,1065.5,628.64,3.8933e+07
17-20,2050,CA_SCE_S,CA_SDGE,1500,211.63,0.98685,0.59,4780,0,4780,2820.2,0.019829
18-36,2050,CA_SCE_SE,NV_S,2426,251.16,0.98439,0.59,718,0,718,423.62,0.00066281
20-28,2050,CA_SDGE,MEX_BAJA,1447,155.15,0.99036,0.59,796,5262.9,6058.9,3574.8,1.1075e+08
