,from,to,value,from_to
12,AZ_APS_SW,AZ_PHX,3.3627,AZ_APS_SWAZ_PHX
34,CAN_ALB,CAN_BC,1.5108,CAN_ALBCAN_BC
35,CAN_ALB,MT_NE,10.727,CAN_ALBMT_NE
39,CAN_BC,WA_N_CEN,3.5645000000000002,CAN_BCWA_N_CEN
50,CA_PGE_N,NV_N,2.9904,CA_PGE_NNV_N
54,CA_PGE_S,CA_SCE_VLY,0.30955,CA_PGE_SCA_SCE_VLY
55,CA_SCE_CEN,CA_SCE_S,7.5187,CA_SCE_CENCA_SCE_S
57,CA_SCE_CEN,CA_SCE_VLY,0.21651,CA_SCE_CENCA_SCE_VLY
61,CA_SCE_S,CA_SCE_SE,1.0655000000000001,CA_SCE_SCA_SCE_SE
64,CA_SDGE,MEX_BAJA,5.2629,CA_SDGEMEX_BAJA
76,CO_NW,WY_SW,0.95268,CO_NWWY_SW
79,ID_E,ID_S_OR_E,1.6685999999999999,ID_EID_S_OR_E
80,ID_E,MT_SW,2.7500999999999998,ID_EMT_SW
85,ID_S_OR_E,MT_SW,1.377e-08,ID_S_OR_EMT_SW
91,MT_NE,MT_SE,6.0706999999999995,MT_NEMT_SE
92,MT_NE,MT_SW,3.5997,MT_NEMT_SW
94,MT_NW,WA_ID_AVA,0.93903,MT_NWWA_ID_AVA
96,MT_SE,WY_NE,0.41786,MT_SEWY_NE
97,MT_SE,WY_NW,0.31545999999999996,MT_SEWY_NW
101,NV_N,OR_E,2.2244,NV_NOR_E
107,OR_PDX,OR_W,0.59427,OR_PDXOR_W
115,UT_N,UT_S,0.096981,UT_NUT_S
121,WY_NE,WY_NW,1.4059e-08,WY_NEWY_NW
