,from,to,value,from_to
12,AZ_APS_SW,AZ_PHX,1.549,AZ_APS_SWAZ_PHX
19,AZ_NM_N,CO_SW,2.8073000000000003e-08,AZ_NM_NCO_SW
21,AZ_NM_N,NM_S_TX_EPE,6.164e-07,AZ_NM_NNM_S_TX_EPE
30,CA_IID,MEX_BAJA,7.2357e-08,CA_IIDMEX_BAJA
34,CAN_ALB,CAN_BC,1.1645,CAN_ALBCAN_BC
35,CAN_ALB,MT_NE,11.032,CAN_ALBMT_NE
36,CAN_ALB,MT_NW,6.9363e-07,CAN_ALBMT_NW
39,CAN_BC,WA_N_CEN,3.8153,CAN_BCWA_N_CEN
45,CA_PGE_CEN,CA_PGE_S,0.53879,CA_PGE_CENCA_PGE_S
48,CA_PGE_CEN,NV_N,1.8826e-05,CA_PGE_CENNV_N
50,CA_PGE_N,NV_N,10.442,CA_PGE_NNV_N
55,CA_SCE_CEN,CA_SCE_S,1.3417999999999999,CA_SCE_CENCA_SCE_S
56,CA_SCE_CEN,CA_SCE_SE,4.4676999999999997e-07,CA_SCE_CENCA_SCE_SE
57,CA_SCE_CEN,CA_SCE_VLY,1.7186,CA_SCE_CENCA_SCE_VLY
61,CA_SCE_S,CA_SCE_SE,6.072100000000001,CA_SCE_SCA_SCE_SE
64,CA_SDGE,MEX_BAJA,5.4662,CA_SDGEMEX_BAJA
68,CO_E,CO_NW,6.7968e-07,CO_ECO_NW
70,CO_E,NM_N,1.1131,CO_ENM_N
74,CO_NW,UT_S,8.1236e-07,CO_NWUT_S
76,CO_NW,WY_SW,1.3522,CO_NWWY_SW
77,CO_SW,NM_N,1.4763000000000002e-06,CO_SWNM_N
78,CO_SW,UT_S,1.3037000000000001e-06,CO_SWUT_S
79,ID_E,ID_S_OR_E,1.3840000000000001,ID_EID_S_OR_E
80,ID_E,MT_SW,1.7407000000000001,ID_EMT_SW
82,ID_E,WY_NW,9.1641e-07,ID_EWY_NW
84,ID_S_OR_E,MT_NW,5.670900000000001e-07,ID_S_OR_EMT_NW
85,ID_S_OR_E,MT_SW,5.0451e-06,ID_S_OR_EMT_SW
91,MT_NE,MT_SE,7.5857,MT_NEMT_SE
92,MT_NE,MT_SW,1.8696,MT_NEMT_SW
94,MT_NW,WA_ID_AVA,0.6423500000000001,MT_NWWA_ID_AVA
96,MT_SE,WY_NE,0.62319,MT_SEWY_NE
97,MT_SE,WY_NW,4.0835,MT_SEWY_NW
98,MT_SW,WY_NW,5.881200000000001e-07,MT_SWWY_NW
100,NV_N,NV_S,3.4124e-05,NV_NNV_S
101,NV_N,OR_E,28.418,NV_NOR_E
102,NV_N,UT_N,7.9152e-07,NV_NUT_N
105,OR_E,OR_W,8.9835,OR_EOR_W
106,OR_E,OR_WA_BPA,2.3608000000000002,OR_EOR_WA_BPA
114,OR_WA_BPA,WA_W,6.7536e-07,OR_WA_BPAWA_W
115,UT_N,UT_S,7.4225,UT_NUT_S
121,WY_NE,WY_NW,1.0427e-05,WY_NEWY_NW
123,WY_NW,WY_SE,0.016271,WY_NWWY_SE
124,WY_NW,WY_SW,0.45211,WY_NWWY_SW
