,gen_type,gen_load_zone,value
0,Biomass,AZ_APS_E,0.024334
1,Biomass,AZ_APS_N,0.06420999999999999
2,Biomass,AZ_APS_SW,0.40295
3,Biomass,AZ_NM_N,0.027852000000000002
4,Biomass,AZ_NW,0.001317
5,Biomass,AZ_PHX,0.16272999999999999
6,Biomass,AZ_SE,0.16582
7,Biomass,CAN_ALB,0.71286
8,Biomass,CAN_BC,0.58897
9,Biomass,CA_IID,0.11807
10,Biomass,CA_LADWP,0.19992
11,Biomass,CA_PGE_BAY,0.6484500000000001
12,Biomass,CA_PGE_CEN,0.49659
13,Biomass,CA_PGE_N,0.48847999999999997
14,Biomass,CA_PGE_S,0.27424000000000004
15,Biomass,CA_SCE_CEN,1.5397
16,Biomass,CA_SCE_S,0.9282400000000001
17,Biomass,CA_SCE_SE,0.1726
18,Biomass,CA_SCE_VLY,0.10252
19,Biomass,CA_SDGE,0.46661
20,Biomass,CA_SMUD,0.10821
21,Biomass,CO_DEN,0.71293
22,Biomass,CO_E,0.4056
23,Biomass,CO_NW,0.19352000000000003
24,Biomass,CO_SW,0.041933
25,Biomass,ID_E,0.038632
26,Biomass,ID_S_OR_E,0.10346
27,Biomass,MEX_BAJA,0.13636
28,Biomass,MT_NE,0.057304
29,Biomass,MT_NW,0.042897
30,Biomass,MT_SE,0.0027895
31,Biomass,MT_SW,0.010455
32,Biomass,NM_N,0.19006
33,Biomass,NM_S_TX_EPE,0.19987000000000002
34,Biomass,NV_N,0.10158
35,Biomass,NV_S,0.19463999999999998
36,Biomass,OR_E,0.020569
37,Biomass,OR_PDX,0.1048
38,Biomass,OR_W,0.17407
39,Biomass,OR_WA_BPA,0.34998
40,Biomass,UT_N,0.33048000000000005
41,Biomass,UT_S,0.091371
42,Biomass,WA_ID_AVA,0.054089
43,Biomass,WA_N_CEN,0.035298
44,Biomass,WA_SEATAC,0.085326
45,Biomass,WA_W,0.5172000000000001
46,Biomass,WY_NE,0.0032492000000000003
47,Biomass,WY_NW,0.0015319
48,Biomass,WY_SE,0.047936
49,Biomass,WY_SW,0.0013055000000000002
50,Coal,AZ_APS_E,0.0
51,Coal,AZ_APS_N,0.0
52,Coal,AZ_APS_SW,0.0
53,Coal,AZ_NM_N,0.0
54,Coal,AZ_NW,0.0
55,Coal,AZ_PHX,0.0
56,Coal,AZ_SE,0.0
57,Coal,CAN_ALB,0.0
58,Coal,CAN_BC,0.0
59,Coal,CA_PGE_BAY,0.0
60,Coal,CA_PGE_CEN,0.0
61,Coal,CA_PGE_S,0.0
62,Coal,CA_SCE_CEN,0.0
63,Coal,CA_SCE_VLY,0.0
64,Coal,CO_DEN,0.0
65,Coal,CO_E,1.7136
66,Coal,CO_NW,0.0
67,Coal,CO_SW,0.0
68,Coal,ID_E,0.0
69,Coal,ID_S_OR_E,0.0
70,Coal,MEX_BAJA,0.0
71,Coal,MT_NE,0.0
72,Coal,MT_NW,0.0
73,Coal,MT_SE,0.0
74,Coal,MT_SW,0.0
75,Coal,NM_N,0.0
76,Coal,NM_S_TX_EPE,0.0
77,Coal,NV_N,0.0
78,Coal,NV_S,0.0
79,Coal,OR_E,0.0
80,Coal,OR_PDX,0.0
81,Coal,OR_W,0.0
82,Coal,OR_WA_BPA,0.0
83,Coal,UT_N,0.0
84,Coal,UT_S,0.0
85,Coal,WA_ID_AVA,0.0
86,Coal,WA_N_CEN,0.0
87,Coal,WA_SEATAC,0.0
88,Coal,WA_W,0.0
89,Coal,WY_NE,0.0
90,Coal,WY_NW,0.0
91,Coal,WY_SE,0.0
92,Coal,WY_SW,0.0
93,Gas,AZ_APS_E,0.0
94,Gas,AZ_APS_N,0.0
95,Gas,AZ_APS_SW,0.9
96,Gas,AZ_NM_N,0.0
97,Gas,AZ_NW,0.0
98,Gas,AZ_PHX,0.0
99,Gas,AZ_SE,0.0
100,Gas,CAN_ALB,0.0658
101,Gas,CAN_BC,0.0
102,Gas,CA_IID,0.15230000000000002
103,Gas,CA_LADWP,0.5496000000000001
104,Gas,CA_PGE_BAY,1.9887000000000001
105,Gas,CA_PGE_CEN,0.8653
106,Gas,CA_PGE_N,0.0
107,Gas,CA_PGE_S,0.0151
108,Gas,CA_SCE_CEN,0.059000000000000004
109,Gas,CA_SCE_S,3.9299000000000004
110,Gas,CA_SCE_SE,0.0
111,Gas,CA_SCE_VLY,0.0485
112,Gas,CA_SDGE,1.1043
113,Gas,CA_SMUD,0.0
114,Gas,CO_DEN,0.6256
115,Gas,CO_E,0.44
116,Gas,CO_NW,0.0
117,Gas,CO_SW,0.0
118,Gas,ID_E,0.0
119,Gas,ID_S_OR_E,0.3185
120,Gas,MEX_BAJA,0.152
121,Gas,MT_NE,0.0
122,Gas,MT_NW,0.0
123,Gas,MT_SE,0.0016
124,Gas,MT_SW,0.0
125,Gas,NM_N,0.0434
126,Gas,NM_S_TX_EPE,0.966
127,Gas,NV_N,0.0
128,Gas,NV_S,0.0
129,Gas,OR_E,0.0
130,Gas,OR_PDX,0.0
131,Gas,OR_W,0.0
132,Gas,OR_WA_BPA,0.924
133,Gas,UT_N,0.7532000000000001
134,Gas,UT_S,0.0
135,Gas,WA_ID_AVA,0.0
136,Gas,WA_N_CEN,0.0
137,Gas,WA_SEATAC,0.0
138,Gas,WA_W,0.0
139,Gas,WY_NE,0.0
140,Gas,WY_NW,0.0
141,Gas,WY_SE,0.14
142,Gas,WY_SW,0.0
143,Geothermal,CAN_BC,0.0
144,Geothermal,CA_IID,0.0
145,Geothermal,CA_PGE_N,0.0
146,Geothermal,CA_SCE_CEN,0.0
147,Geothermal,CO_SW,0.0
148,Geothermal,ID_E,0.0
149,Geothermal,ID_S_OR_E,0.0
150,Geothermal,MEX_BAJA,0.0
151,Geothermal,MT_SW,0.0
152,Geothermal,NM_S_TX_EPE,0.0
153,Geothermal,NV_N,0.0
154,Geothermal,NV_S,0.0
155,Geothermal,OR_E,0.0
156,Geothermal,OR_PDX,0.0
157,Geothermal,OR_W,0.0
158,Geothermal,UT_N,0.0
159,Geothermal,UT_S,0.0
160,Geothermal,WA_ID_AVA,0.0
161,Hydro,AZ_APS_N,1.312
162,Hydro,AZ_NM_N,0.03
163,Hydro,AZ_NW,0.2548
164,Hydro,AZ_PHX,0.0893
165,Hydro,CAN_ALB,0.912
166,Hydro,CAN_BC,12.8814
167,Hydro,CA_IID,0.0883
168,Hydro,CA_LADWP,0.045200000000000004
169,Hydro,CA_PGE_CEN,3.1804
170,Hydro,CA_PGE_N,5.2039
171,Hydro,CA_PGE_S,0.0448
172,Hydro,CA_SCE_CEN,0.561
173,Hydro,CA_SCE_S,0.38380000000000003
174,Hydro,CA_SCE_SE,0.1395
175,Hydro,CA_SCE_VLY,0.041400000000000006
176,Hydro,CA_SDGE,0.0148
177,Hydro,CA_SMUD,0.212
178,Hydro,CO_DEN,0.2131
179,Hydro,CO_E,0.0056
180,Hydro,CO_NW,0.10940000000000001
181,Hydro,CO_SW,0.3397
182,Hydro,ID_E,0.44680000000000003
183,Hydro,ID_S_OR_E,2.0093
184,Hydro,MT_NE,0.48510000000000003
185,Hydro,MT_NW,1.8323
186,Hydro,MT_SE,0.27080000000000004
187,Hydro,MT_SW,0.0965
188,Hydro,NM_N,0.051500000000000004
189,Hydro,NV_N,0.0128
190,Hydro,NV_S,2.0788
191,Hydro,OR_E,0.11570000000000001
192,Hydro,OR_PDX,1.3559
193,Hydro,OR_W,0.9448
194,Hydro,OR_WA_BPA,6.836399999999999
195,Hydro,UT_N,0.24730000000000002
196,Hydro,UT_S,0.016100000000000003
197,Hydro,WA_ID_AVA,3.7115
198,Hydro,WA_N_CEN,13.7623
199,Hydro,WA_W,2.696
200,Hydro,WY_NW,0.0484
201,Hydro,WY_SE,0.2402
202,Hydro,WY_SW,0.01
203,Nuclear,AZ_APS_SW,4.2096
204,Nuclear,OR_WA_BPA,1.2
205,Solar,AZ_APS_E,6.09510553486
206,Solar,AZ_APS_N,5.60433013001
207,Solar,AZ_APS_SW,3.563200291021
208,Solar,AZ_NM_N,1.167600101885
209,Solar,AZ_NW,4.9104000786199995
210,Solar,AZ_PHX,16.18800010983
211,Solar,AZ_SE,21.01
212,Solar,CAN_ALB,5.748900038554
213,Solar,CAN_BC,2.3918000000000004
214,Solar,CA_IID,20.881000070719
215,Solar,CA_LADWP,3.04705e-07
216,Solar,CA_PGE_BAY,5.2137
217,Solar,CA_PGE_CEN,20.132000234729
218,Solar,CA_PGE_N,29.73600005833
219,Solar,CA_PGE_S,13.375000430174
220,Solar,CA_SCE_CEN,69.507000375667
221,Solar,CA_SCE_S,14.542
222,Solar,CA_SCE_SE,5.1562e-07
223,Solar,CA_SCE_VLY,2.9005003120420003
224,Solar,CA_SDGE,0.8573701767270001
225,Solar,CA_SMUD,1.74590917923
226,Solar,CO_DEN,3.4455e-07
227,Solar,CO_E,5.62651e-07
228,Solar,CO_NW,2.9679100000000003e-07
229,Solar,CO_SW,0.655550012371
230,Solar,ID_E,4.879300000000001
231,Solar,ID_S_OR_E,11.311000044191
232,Solar,MEX_BAJA,17.255
233,Solar,MT_NE,8.48192e-07
234,Solar,MT_NW,2.8638000000000003
235,Solar,MT_SE,7.818900000000001e-08
236,Solar,MT_SW,1.3051e-07
237,Solar,NM_N,1.4242653e-05
238,Solar,NM_S_TX_EPE,1.3588007123299999
239,Solar,NV_N,1.9317002341110001
240,Solar,NV_S,21.196
241,Solar,OR_E,0.623280111607
242,Solar,OR_PDX,4.34012e-07
243,Solar,OR_W,10.269000071533
244,Solar,OR_WA_BPA,13.104000139881
245,Solar,UT_N,9.71593e-07
246,Solar,UT_S,3.177400044483
247,Solar,WA_ID_AVA,6.033999e-06
248,Solar,WA_N_CEN,2.320332e-06
249,Solar,WA_SEATAC,2.6679999999999998e-08
250,Solar,WA_W,1.2670999999999997e-07
251,Solar,WY_NE,0.7604001087550001
252,Solar,WY_NW,0.08047
253,Solar,WY_SE,2.41779e-07
254,Solar,WY_SW,3.8810099999999996e-07
255,Storage,AZ_APS_E,2.5500000000000003
256,Storage,AZ_APS_N,1.9744000000000002
257,Storage,AZ_APS_SW,1.1594000000000002
258,Storage,AZ_NM_N,0.17495
259,Storage,AZ_NW,2.8777
260,Storage,AZ_PHX,8.209200000000001
261,Storage,AZ_SE,10.462
262,Storage,CAN_ALB,13.06
263,Storage,CAN_BC,2.076
264,Storage,CA_IID,8.6232
265,Storage,CA_LADWP,0.33587
266,Storage,CA_PGE_BAY,2.068
267,Storage,CA_PGE_CEN,8.369299999999999
268,Storage,CA_PGE_N,14.6471
269,Storage,CA_PGE_S,7.0878000000000005
270,Storage,CA_SCE_CEN,36.308
271,Storage,CA_SCE_S,9.1268
272,Storage,CA_SCE_SE,2.5873e-05
273,Storage,CA_SCE_VLY,1.3643
274,Storage,CA_SDGE,3.3381
275,Storage,CA_SMUD,1.8317
276,Storage,CO_DEN,0.29025
277,Storage,CO_E,2.5322
278,Storage,CO_NW,0.585032
279,Storage,CO_SW,0.034047
280,Storage,ID_E,2.0412
281,Storage,ID_S_OR_E,5.0485
282,Storage,MEX_BAJA,8.4587
283,Storage,MT_NE,0.25254
284,Storage,MT_NW,0.74824
285,Storage,MT_SE,7.2115e-06
286,Storage,MT_SW,0.14685
287,Storage,NM_N,1.8005
288,Storage,NM_S_TX_EPE,1.8058
289,Storage,NV_N,1.5085
290,Storage,NV_S,9.631
291,Storage,OR_E,0.32514
292,Storage,OR_PDX,0.87575
293,Storage,OR_W,3.4039
294,Storage,OR_WA_BPA,1.5282
295,Storage,UT_N,1.0732000000000002
296,Storage,UT_S,1.4585000000000001
297,Storage,WA_ID_AVA,0.53634
298,Storage,WA_N_CEN,0.31404538000000004
299,Storage,WA_SEATAC,0.008280200000000001
300,Storage,WA_W,0.00018931999999999998
301,Storage,WY_NE,0.114
302,Storage,WY_NW,2.0904e-06
303,Storage,WY_SE,2.3619000000000003
304,Storage,WY_SW,0.034676000000000005
305,Waste,UT_S,0.0095
306,Waste,WY_NW,0.0009000000000000001
307,Wind,AZ_APS_E,0.120000447164
308,Wind,AZ_APS_N,3.03000186245
309,Wind,AZ_APS_SW,0.15000007959699999
310,Wind,AZ_NM_N,0.5400014987660001
311,Wind,AZ_NW,0.7500030856590001
312,Wind,AZ_PHX,0.24
313,Wind,AZ_SE,2.460000280843
314,Wind,CAN_ALB,72.59700000000001
315,Wind,CAN_BC,10.675
316,Wind,CA_IID,0.032000115827000006
317,Wind,CA_PGE_BAY,0.245
318,Wind,CA_PGE_CEN,2.5336999999999997e-08
319,Wind,CA_PGE_N,3.1580002796150004
320,Wind,CA_PGE_S,0.27000041030800004
321,Wind,CA_SCE_CEN,4.655000612279999
322,Wind,CA_SCE_S,0.524
323,Wind,CA_SDGE,0.44200128714
324,Wind,CO_DEN,1.5555e-07
325,Wind,CO_E,15.064
326,Wind,CO_NW,0.28199
327,Wind,CO_SW,2.8513
328,Wind,ID_E,3.0
329,Wind,ID_S_OR_E,1.5230000000000001
330,Wind,MEX_BAJA,9.7809e-08
331,Wind,MT_NE,1.8900000000000001
332,Wind,MT_NW,5.1343e-08
333,Wind,MT_SE,1.1378e-06
334,Wind,MT_SW,2.25
335,Wind,NM_N,11.983
336,Wind,NM_S_TX_EPE,7.688500095695001
337,Wind,NV_N,6.6397
338,Wind,NV_S,7.9813109943909994
339,Wind,OR_E,2.934
340,Wind,OR_PDX,1.35
