,gen_load_zone,value,OnlinePowerCapacityMW,zone_demand_mw,percent_power,size
0,AZ_APS_E,7.21282019607623,0.8904700000000001,0.677179,131.49698971763746,7.123760000000001
1,AZ_APS_N,7.212889527259102,0.32026,1.9852100000000001,16.13229834627067,2.56208
2,AZ_APS_SW,10.81873898601126,0.0064123,1.66439,0.38526427099417804,0.051298399999999994
3,AZ_NM_N,9.87017982498317,1.0399,1.01265,102.69095936404484,8.3192
4,AZ_NW,10.81889295969898,1.0099,1.26929,79.5641657934751,8.0792
5,AZ_PHX,9.657425616951087,15.763,18.4103,85.6205493663873,126.104
6,AZ_SE,8.931503912530818,9.329,7.72699,120.73265268882191,74.632
7,CAN_ALB,10.81875951893283,9.5205,20.6636,46.07377223717068,76.164
8,CAN_BC,4.865659719700821,13.771,21.4118,64.31500387636724,110.168
9,CA_IID,10.819196690372866,0.93787,1.1753,79.79834935761082,7.50296
10,CA_LADWP,9.275709189546506,8.7741,8.17927,107.27240939594853,70.1928
11,CA_PGE_BAY,7.212884333821377,17.075,13.703299999999999,124.60502214794977,136.6
12,CA_PGE_CEN,7.212831232893194,6.6494,9.052389999999999,73.45463463240095,53.1952
13,CA_PGE_N,5.268008389126401,4.9588,7.20401,68.83388557206334,39.6704
14,CA_PGE_S,8.656346539022984,2.9457,3.27027,90.07513141116789,23.5656
15,CA_SCE_CEN,10.81915736012888,3.6623,5.9158599999999995,61.90646837484323,29.2984
16,CA_SCE_S,10.818872795066685,27.892,30.4017,91.74486953032232,223.136
17,CA_SCE_SE,10.818731945937968,0.9485399999999999,0.11531699999999999,822.5500143083847,7.5883199999999995
18,CA_SCE_VLY,7.807277468294417,1.6874000000000002,1.61612,104.410563572012,13.499200000000004
19,CA_SDGE,10.659020364902718,5.283600000000001,12.602200000000002,41.92601291837933,42.268800000000006
20,CA_SMUD,4.020150599215187,9.429,4.559850000000001,206.78311786571922,75.432
21,CO_DEN,8.521759885432413,0.12569,1.06116,11.844585170945003,1.00552
22,CO_E,7.416253021128408,3.8479,3.12142,123.27402272042853,30.7832
23,CO_NW,7.212946744680059,0.53666,0.682547,78.62608728776188,4.29328
24,CO_SW,7.822572647029654,1.0083,0.8966770000000001,112.44851825127664,8.0664
25,ID_E,7.530314513073135,2.1111999999999997,2.2132300000000003,95.38999561726524,16.889599999999998
26,ID_S_OR_E,4.653094897805045,8.606100000000001,5.66265,151.9800799978809,68.84880000000001
27,MEX_BAJA,10.817781789461808,4.4315,5.419020000000001,81.776778827168,35.452
28,MT_NE,7.210569921074435,2.2933e-05,0.716573,0.003200371769519644,0.000183464
29,MT_NW,8.521723122238585,0.5975199999999999,1.20606,49.543140473939935,4.7801599999999995
30,MT_SE,7.212866058569371,0.52075,0.7117859999999999,73.16103435583167,4.166
31,MT_SW,8.521731293513282,0.88766,1.07799,82.34399205929554,7.10128
32,NM_N,7.3711419044997095,3.2691,2.5736100000000004,127.02390805133643,26.1528
33,NM_S_TX_EPE,8.00125296216599,3.6713000000000005,2.95528,124.22849949920145,29.370400000000004
34,NV_N,7.212708715890166,4.6834,3.1018600000000003,150.9868272584836,37.4672
35,NV_S,10.819150443846064,7.7617,10.6396,72.95105079138314,62.0936
36,OR_E,3.606393606393606,3.003,1.0744,279.50483991064783,24.024
37,OR_PDX,3.9104211353452123,4.7087,7.13222,66.0201171584724,37.6696
38,OR_W,5.113697857948139,17.740000000000002,6.28821,282.11526014557404,141.92000000000002
39,OR_WA_BPA,3.665990990990991,1.3320000000000001e-05,2.73057,0.0004878102374229556,0.00010656
40,UT_N,7.212739634540219,9.133700000000001,6.55224,139.39812949464613,73.06960000000001
41,UT_S,10.41842335534166,1.2570999999999999,1.32086,95.17284193631421,10.056799999999999
42,WA_ID_AVA,7.212949837669761,0.21869,4.17824,5.234021980546833,1.74952
43,WA_N_CEN,3.633878361381661,9.6203e-06,2.6116,0.00036836805023740234,7.69624e-05
44,WA_SEATAC,5.876112598596135,13.819,10.0462,137.55449821823177,110.552
45,WA_W,10.651441598225098,0.0098259,6.16482,0.15938664875860123,0.0786072
46,WY_NE,8.274453704855496,0.96468,0.9689420000000001,99.56013879055712,7.717440000000001
47,WY_NW,7.212642053485611,0.17687,0.318342,55.559743923202085,1.41496
48,WY_SE,4.260942599347283,0.20836000000000002,1.09947,18.950949093654216,1.6668800000000001
49,WY_SW,7.212670626237366,0.38388,0.335503,114.41924513342651,3.07104
