scenario_name,Built Transmission,Built Generation,Biomass,Solar,Wind
1.94,0.0,0.0,0.0,0.0,0.0
2.0,-4.023242422721907,-0.13883245807472244,-0.7092071710562364,-0.06134198243642475,-0.4224843154818636
2.5,-22.145411285365135,-0.8004061281729036,-4.91785149438968,-0.7231418432779191,-0.7510586609654757
3.0,-30.21421655943245,-1.2700500380844804,-8.19457873801872,-1.1742413314072442,-1.038642900786091
4.0,-34.52614689777851,-2.2857019120097744,-13.481528457915248,-2.1281673476785667,-1.9228593345638645
8.0,-43.88460629226413,-5.61483348981362,-33.52905649247385,-5.171317162063415,-4.9309162951107215
12.0,-48.60059829127989,-8.009939572776704,-50.59591650577468,-6.7283514746533495,-9.598223444229648
16.0,-63.35565242921305,-9.374964595168056,-64.4366853323891,-7.2170979439457605,-13.607521365376229
18.0,-67.30190817347432,-9.791889078225157,-76.29753968388837,-7.33672720860562,-14.2473187348107
20.0,-74.3467558280871,-10.157157636438486,-82.2788140566834,-7.547520307066124,-14.759196407099706
24.0,-74.35980107317044,-10.476009559670363,-87.28370685748523,-6.80056155115023,-19.275642604738565
32.0,-73.72704610068016,-11.037628916576836,-90.59122296623492,-5.67689035922303,-26.910667032906275
48.0,-80.20466431192253,-10.555645385275358,-92.99803134357286,-1.531053298790308,-42.09537948241701
64.0,-81.17259681922448,-8.998770632650688,-95.60639888932424,4.889512208995717,-61.30531898406827
